name;DESCRIPTION;
18;VARIOUS STORES;
180;PROVISION AND BONDED STORE;
180.001;Provision;
180.001.01;Provision - Egg Products;
180.001.02;Provision - Butter
180.001.03;Provision - Dairy Products;
180.001.11;Provision - Meat;
180.001.12;Provision - Fish;
180.001.21;Provision - Vegetables;
180.001.22;Provision - Fruits;
180.001.31;Provision - Jams
180.001.32;Provision - Coffee
180.001.33;Provision - Bread
180.001.41;Provision - Dry Provision;
180.001.42;Provision - Spices
180.001.91;Provision - Others;
180.101;Bonded Store;
181;OIL AND GREASE;
181.001;Lubrication Oil;
181.002;Cylinder Oil;
181.003;Hydraulic Oil;
181.004;Other Lubrications;
181.005;Grease;
181.006;System Oil;
181.007;Turbine Oil;
182;CHEMICALS
182.001;Chemicals General;
182.002;Additives General;
183;PAINTS;
183.001;General Stores - Paint;
183.011;Paint - Jotun;
183.012;Paint - Sigma;
183.013;Paint - Hempel;
183.014;Paint - KCC;
184;GENERAL STORES - DECK AND ENGINE;
184.001;General Stores - Ropes Wires etc.;
184.002;General Stores - Hoses
184.003;General Stores - Packings
184.004;General Stores - Wood and Wood Materials;
184.005;General Stores - Various Work Shop Stores;
184.006;General Stores - Safety Materials;
184.007;General Stores - Fresh Water;
184.008;General Stores - Sampling Bottles
184.009;General Stores - Various Deck;
184.010;General Stores - Various Engine;
184.011;General Stores - Miscellaneous;
184.101;GENERAL STORES - STEEL AND STEEL MATERIALS;
184.101.01;General Stores - Steel Materials;
184.101.02;General Stores - Nuts
184.101.03;General Stores - Steel Pipes and Pipe Fittings etc.;
184.101.04;General Stores - Metal and Other Materials etc.;
184.201;GENERAL STORES - ELECTRICAL;
184.201.01;Electrical Stores - Cables
184.201.02;Electrical Stores - Lamps and Fluorescent Lightings;
184.201.03;Electrical Stores - Torches and Batteries;
184.201.04;Electrical Stores - Fuses
184.201.05;Electrical Stores - Various Installation Materials;
184.201.06;Electrical Stores - Various Electronic Materials;
184.201.07;Electrical Stores - Various Electrical Materials;
184.250;GENERAL STORES - SWITCHES
184.250.01;Pressure Switch / Pressure Transmitters;
184.250.02;Limit Switch;
184.250.03;Thermo Switch / Resistance Bulb;
184.250.04;Level Switch / Level Transmitters;
184.250.05;General Valves;
184.250.06;Pressure Gauges;
184.250.07;Temperature Gauges (Thermometers);
184.250.08;Steam Trap;
184.250.09;Strainers;
184.250.10;Flow Switch;
184.250.11;Expansion Joints;
184.250.12;Pressure Control Valves;
184.250.13;Temperature Control Valves;
184.250.14;Air Trap;
184.301;GENERAL STORES - PAINTING APPLICATION;
184.301.01;General Stores - Paint Application Materials;
184.401;GENERAL STORES - WELDING APPLICATION;
184.401.01;General Stores - Welding Application Materials;
184.501;GENERAL STORES - GASES;
184.501.01;Gases - Oxygen
184.501.02;Gases - Test and Span;
185;GENERAL STORES - TOOLS AND EQUIPMENT;
185.001;General Stores - Hand Tools;
185.002;General Stores - Measuring Tools;
185.003;General Stores - Electrician Tools;
185.004;General Stores - Drilling
185.005;General Stores - Carpenter Tools;
185.006;General Stores - Workshop Tools;
185.007;General Stores - Miscellaneous Tools;
186;GENERAL STORES - CABIN
186.001;General Stores - Galley and Pantry;
186.002;General Stores - Cabins;
187;GENERAL STORES - OFFICE
187.001;Stores - Office;
187.002;Stores - Nautical;
187.003;Stores - General Publications
187.004;Stores - Charts;
187.005;Stores - Flags;
187.006;Stores - Company Forms
188;GENERAL STORES - OTHERS;
188.001;Stores - Personal Protection Materials (PPE);
188.002;Stores - Working
188.003;Stores - Crew Welfare;
188.004;Stores - Telephone (Calling) Cards;
188.005;Stores - SOPEP (Oil Pollution) Materials;
188.801;Stores - Bearings;
189;GENERAL STORES - CATALOGUES;
189.001;Stores - IMPA Catalogue;
189.002;Stores - ISSA Catalogue;
189.003;Stores - UNITOR Catalogue;
189.004;Stores - BP;
189.005;Stores - Drew Ashland;
189.006;Stores - Nautisk Forlag;
189.007;Stores - RS Catalogue;
189.008;Stores - Scandia Catalogue;
189.009;Stores - WSS Catalogue;
189.010;Stores - IMATECH Catalogue;
189.011;Stores - Famm Catalogue;
189.012;Stores - Jordan Catalogue;
189.013;Stores - Nalfleet;
189.014;Stores - Luna Catalogue;
2;HULL SYSTEMS;
21;AFTERBODY;
211;SHELL PANELS
211.100;Shell Plating;
211.105;Plating etc. in way of shell opening;
214;FIRST DECK WITH STIFFENING;
214.100;Upper Deck with Stiffening;
214.105;Decks with Stiffening;
214.200;Deck Plating;
214.205;Bottom Shell;
214.210;Side Shell Port;
214.215;Side Shell Stbd;
214.220;Transverse Sections;
218;STERN FRAME SECTIONS;
25;DECK HOUSES AND SUPERSTRUCTURES;
251;DECK HOUSES;x
252;MAST
252.001;Mast Houses;
252.001.01;Mast House
252.001.02;Mast House
252.003;Fan Room;
252.004;Mast
252.004.01;Mast
252.004.02;Mast
253;SUPERSTRUCTURES;
253.001;Decks with Bulkhead
253.003;Emergency Exits;
253.003.01;Emergency Exits - Deck;
253.003.02;Emergency Exits - Engine;
253.003.03;Emergency Exits - Cargo;
253.011;Superstructure
26;HULL OUTFITTING;
262;BOTTOM PLUGS
262.001;Bottom Plugs;
262.011;SEA CHESTS;
262.011.01;Sea Chest - High;
262.011.02;Sea Chest - Low;
262.011.03;Sea Chest - Ballast;
262.011.04;Sea Chest - Emergency;
262.011.81;Side Shell Sea Valves;
262.015;BILGE WELLS;
262.015.01;Bilge Well - Cargo Hold;
262.015.02;Bilge Well - Engine Room;
262.015.03;Bilge Well - Emergency Fire Pump Room;
262.015.04;Bilge Well - Bosun Store;
262.015.05;Bilge Well - Bow Thruster Room;
262.015.06;Bilge Well - Steering Gear Room;
262.015.07;Bilge Well - Hydraulic Pump Room;
262.015.08;Bilge Well - Chain Locker;
262.015.09;Bilge Well - Pipe Duct;
262.015.10;Bilge Well - Speed Log Space;
262.015.11;Bilge Well - Ballast Pump Room;
262.015.12;Bilge Well - Upper Deck;
262.015.13;Bilge Well - Access Tunnel;
262.015.14;Bilge Well - Void Space;
262.015.15;Bilge Well - Cargo Hatch;
262.021;SEA CONNECTIONS;
262.021.01;Sea Connection Suction Stbd;
262.021.02;Sea Connection Discharge Stbd;
262.021.11;Sea Connection Suction Port;
262.021.12;Sea Connection Discharge Port;
266;HAWSE PIPES;
266.001;Hawse Pipes;
268;FUNNELS;
268.001;Mist Box - Funnel;
268.002;Mesh Filter - Funnel;
268.020;Funnel Casing;
268.020.01;Chimney - Main Engine;
268.020.11;Chimney - Auxiliary Engine No 01;
268.020.12;Chimney - Auxiliary Engine No 02;
268.020.13;Chimney - Auxiliary Engine No 03;
268.020.14;Chimney - Auxiliary Engine No 04;
268.020.15;Chimney - Auxiliary Engine No 05;
268.101;TV Surveillance Camera - Funnel Monitoring;
269;LOOSE / STRUCTURAL TANKS;
269.101;LUBE OIL TANKS;
269.101.01;Tank - ME Lube Oil Storage No 01;
269.101.02;Tank - ME Lube Oil Storage No 02;
269.101.06;Tank - AE Lube Oil Storage No 01;
269.101.07;Tank - AE Lube Oil Storage No 02;
269.101.08;Tank No 01 - Lube Oil Storage (Cargo Compressor);
