name;DESCRIPTION;
712.021.04.81;Motor
712.031;ME LUBE OIL PURIFIER HEATERS;
712.031.01;Heater No 01 - ME Lube Oil Purifier;
712.031.02;Heater No 02 - ME Lube Oil Purifier;
712.051;Purifier No 01 - AE Lube Oil;
712.051.81;Motor
712.051.91;Starter Panel - AE Lube Oil Purifier No 01;
712.051.95;Control Panel - AE Lube Oil Purifier No 01;
712.052;Purifier No 02 - AE Lube Oil;
712.052.81;Motor
712.052.91;Starter Panel - AE Lube Oil Purifier No 02;
712.052.95;Control Panel - AE Lube Oil Purifier No 02;
712.061;AE LUBE OIL PURIFIER HEATERS;
712.061.01;Heater No 01 - AE Lube Oil Purifier;
712.061.02;Heater No 02 - AE Lube Oil Purifier;
712.071;AE LUBE OIL PURIFIER SUPPLY PUMP UNIT;
712.071.01;Pump No 01 - AE Lube Oil Purifier Supply;
712.071.01.81;Motor
712.071.02;Pump No 02 - AE Lube Oil Purifier Supply;
712.071.02.81;Motor
712.081;Valves
712.101;LUBE OIL PURIFIER SLUDGE TRANSFER PUMP UNIT;
712.101.31;Pump No 01 - LO Purifier Sludge Transfer;
712.101.31.81;Motor
712.101.32;Pump No 02 - LO Purifier Sludge Transfer;
712.101.32.81;Motor
713;LUBE OIL SYSTEMS FOR PROPULSION MACHINERY AND TRANSMISSIONS;
713.001;MAIN LUBE OIL PUMP UNIT;
713.001.01;Pump No 01 - Main Lube Oil;
713.001.01.81;Motor
713.001.01.91;Starter Panel - Main Lube Oil Pump No 01;
713.001.02;Pump No 02 - Main Lube Oil;
713.001.02.81;Motor
713.001.02.91;Starter Panel - Main Lube Oil Pump No 02;
713.003;MAIN LUBE OIL BOOSTER PUMP UNIT;
713.003.01;Pump No 01 - Main Lube Oil Booster;
713.003.01.81;Motor
713.003.02;Pump No 02 - Main Lube Oil Booster;
713.003.02.81;Motor
713.011;MAIN LUBE OIL COOLERS;
713.011.01;Cooler No 01 - Main Lube Oil;
713.011.02;Cooler No 02 - Main Lube Oil;
713.021;MAIN LUBE OIL FILTERS;
713.021.01;Filter No 01 - Main Lube Oil Auto Backwash;
713.021.01.95;Control Panel - Main Lube Oil Auto Backwash Filter No 01;
713.021.02;Filter No 02 - Main Lube Oil Auto Backwash;
713.021.02.95;Control Panel - Main Lube Oil Auto Backwash Filter No 02;
713.021.11;Filter - Main Lube Oil By-Pass;
713.021.21;Sludge Checker - Main Lube Oil Auto Backwash Filter No 01;
713.021.22;Sludge Checker - Main Lube Oil Auto Backwash Filter No 02;
713.021.24;Filter - ME Lube Oil 2nd;
713.021.24.81;Motor
713.021.31;ME CJC Filter;
713.021.41;Filter - ME HPU Lube Oil Auto Back Wash;
713.021.51;Filter - Main Servo Oil Auto Backwash;
713.021.51.81;Motor
713.021.51.95;Control Panel - Main Servo Oil Auto Backwash Filter;
713.021.61;Filter - ME Lube Oil Flushing;
713.051;STERN TUBE LUBE OIL PUMP UNIT;x
713.051.01;Pump No 01 - Stern Tube Lube Oil;
713.051.01.81;Motor
713.051.01.91;Starter Panel - Stern Tube Lube Oil Pump No 01;
713.051.02;Pump No 02 - Stern Tube Lube Oil;
713.051.02.81;Motor
713.051.02.91;Starter Panel - Stern Tube Lube Oil Pump No 02;
713.051.03;Pump No 03 - Stern Tube Lube Oil Seal;
713.051.03.81;Motor
713.051.04;Pump No 04 - Stern Tube Lube Oil Seal;
713.051.04.81;Motor
713.056;STERN TUBE LUBE OIL PUMP UNIT;x
713.056.01;Pump No 01 - Stern Tube Lube Oil
713.056.01.81;Motor
713.056.02;Pump No 02 - Stern Tube Lube Oil
713.056.02.81;Motor
713.056.03;Pump No 03 - Stern Tube Lube Oil
713.056.03.81;Motor
713.056.04;Pump No 04 - Stern Tube Lube Oil
713.056.04.81;Motor
713.061;Cooler - Stern Tube Lube Oil;
713.061.01;Cooler No 01 - Stern Tube Lube Oil Seal
713.061.02;Cooler No 02 - Stern Tube Lube Oil Seal
713.066;Flow Meter - ME Lube Oil;
713.066.01;Cooler No 01 - Stern Tube Lube Oil
713.066.02;Cooler No 02 - Stern Tube Lube Oil
713.071;Flow Meter - Stern Tube Lube Oil;
713.072;Flow Meter - Stern Tube Lube Oil
713.081;Valves
713.083;Lube Oil Piping - Lube Oil System;
713.101;ME TURBOCHARGER LUBE OIL PUMP UNIT;
713.101.01;Pump No 01 - ME Turbocharger Lube Oil;
713.101.01.81;Motor
713.101.02;Pump No 02 - ME Turbocharger Lube Oil;
713.101.02.81;Motor
713.101.04;Pump - ME Turbocharger Lube Oil Filter Feed;
713.101.04.81;Motor
713.106;Cooler - ME Turbocharger Lube Oil;
713.108;Filter - ME Turbocharger Lube Oil;
713.151;AE LUBE OIL FILTERS;
713.151.01;Filter - AE Lube Oil Auto Backwash;
713.151.11;Filter - AE Lube Oil Basket;
713.161;AE LUBE OIL SHIFTING PUMP UNIT;
713.161.01;Pump No 01 - AE Lube Oil Shifting;
713.161.01.81;Motor
713.161.02;Pump No 02 - AE Lube Oil Shifting;
713.161.02.81;Motor
713.201;ME CYLINDER OIL TRANSFER PUMP UNIT;
713.201.01;Pump No 01 - Cylinder Oil Transfer;
713.201.01.81;Motor
713.201.01.91;Starter Panel - Cylinder Oil Transfer Pump No 01;
713.201.02;Pump No 02 - Cylinder Oil Transfer;
713.201.02.81;Motor
713.201.11;Hand Pump - Cylinder Oil Transfer;
713.211;ME CYLINDER OIL SHIFTING PUMP UNIT;
713.211.01;Pump No 01 - Cylinder Oil Shifting;
713.211.01.81;Motor
713.211.02;Pump No 02 - Cylinder Oil Shifting;
713.211.02.81;Motor
713.221;ME CYLINDER OIL MEASURING PUMP UNIT;
713.221.01;Pump - Cylinder Oil Measuring;
713.221.01.81;Motor
713.231;ME CYLINDER OIL CIRCULATING PUMP UNIT;
713.231.01;Pump No 01 - Cylinder Oil Circulating;
713.231.01.81;Motor
713.231.02;Pump No 02 - Cylinder Oil Circulating;
713.231.02.81;Motor
713.236;Heater - ME Cylinder Oil;
713.238;Tank - ME Cylinder Oil Heating;
713.241;Flow Meter - ME Cylinder Oil;x
713.241.01;Flow Meter - ME Cylinder Oil;x
713.241.11;Flow Meter - ME Cylinder Oil (Outlet);
713.301;ME STUFFING BOX LUBE OIL PUMP UNIT;
713.301.01;Pump - Stuffing Box Lube Oil Drain;
713.301.01.81;Motor
713.311;Filter - Stuffing Box Lube Oil;
713.312;Filter - Stuffing Box Lube Oil Drain;
713.351;ME CAMSHAFT LUBE OIL PUMP UNIT;
713.351.01;Pump No 01 - ME Camshaft Lube Oil;
713.351.01.81;Motor
713.351.02;Pump No 02 - ME Camshaft Lube Oil;
713.351.02.81;Motor
713.352;Filter - Camshaft Lube Oil Drain;
713.361;ME CAMSHAFT LUBE OIL FILTER UNIT;
713.361.01;Filter - ME Camshaft Lube Oil Fine;
713.361.11;Pump - ME Camshaft Lube Oil Filter;
713.361.11.81;Motor
713.371;Cooler - ME Camshaft Lube Oil;
713.401;ME PISTON COOLING LUBE OIL PUMP UNIT;
713.401.01;Pump No 01 - ME Piston Cooling Lube Oil;
713.401.01.81;Motor
713.401.02;Pump No 02 - ME Piston Cooling Lube Oil;
713.401.02.81;Motor
713.451;ME EXHAUST VALVE DRIVING OIL PUMP UNIT;
713.451.01;Pump No 01 - ME Exhaust Valve Driving Oil;
713.451.01.81;Motor
713.451.02;Pump No 02 - ME Exhaust Valve Driving Oil;
713.451.02.81;Motor
713.501;ME CROSSHEAD LUBE OIL PUMP UNIT;
713.501.01;Pump No 01 - ME Crosshead Lube Oil;
713.501.01.81;Motor
713.501.02;Pump No 02 - ME Crosshead Lube Oil;
713.501.02.81;Motor
713.551;ME BLADE ANGLE CONTROL HYDRAULIC OIL PUMP UNIT;
713.551.01;Pump - Blade Angle Control Hydraulic Oil;
713.551.01.81;Motor
714;LUBE OIL SYSTEM FOR MOTOR/TURBO AGGREGATES;
714.001;CONTROL OIL PUMP UNIT - MAIN TURBINE;
714.001.01;Pump No 01
714.001.01.81;Motor
714.001.01.91;Starter Panel - Hydraulic Pump No 01
714.001.02;Pump No 02
714.001.02.81;Motor
714.001.02.91;Starter Panel - Hydraulic Pump No 02
714.001.51;Line Filter - MT Control Oil Pump Unit;
714.001.61;Suction Filter - MT Control Oil Pump Unit;
72;COOLING SYSTEMS;
721;SEA WATER COOLING SYSTEMS;
721.001;MAIN COOLING SEA WATER PUMP UNIT;
721.001.01;Pump No 01 - Main Cooling Sea Water;
721.001.01.11;Vacuum Pump - Main Cooling Sea Water Pump No 01;
721.001.01.21;Air Ejector Unit - Main Cooling Sea Water Pump No 01;
721.001.01.81;Motor
721.001.01.91;Starter Panel - Main Cooling Sea Water Pump No 01;
721.001.02;Pump No 02 - Main Cooling Sea Water;
721.001.02.81;Motor
721.001.02.91;Starter Panel - Main Cooling Sea Water Pump No 02;
721.001.03;Pump No 03 - Main Cooling Sea Water;
721.001.03.81;Motor
721.001.03.91;Starter Panel - Main Cooling Sea Water Pump No 03;
721.001.06;Pump No 01 - Main Cooling Sea Water
721.001.06.81;Motor
721.001.07;Pump No 02 - Main Cooling Sea Water
721.001.07.81;Motor
721.011;AUXILIARY COOLING SEA WATER PUMP UNIT;
721.011.01;Pump No 01 - Auxiliary Cooling Sea Water;
721.011.01.81;Motor
721.011.02;Pump No 02 - Auxiliary Cooling Sea Water;
721.011.02.81;Motor
721.016;RESERVE COOLING SEA WATER PUMP UNIT;
721.016.01;Pump No 01 - Reserve Cooling Sea Water;
721.016.01.81;Motor
721.021;PORT USE COOLING SEA WATER PUMP UNIT;
721.021.01;Pump Port Use Cooling Sea Water;
721.021.01.81;Motor
721.031;REFRIGERATED MACHINERY COOLING SEA WATER PUMP UNIT;
721.031.01;Pump - Ref Machinery Cooling Sea Water;
721.031.01.81;Motor
721.031.01.91;Starter Panel - Ref Machinery Cooling Sea Water Pump;
721.033;PROVISION AND CO2 COOLING SEA WATER PUMP UNIT;
721.033.01;Pump - Provision and CO2 Ref Cooling Sea Water;
721.033.01.81;Motor
721.035;PROVISION REFRIGERATION COOLING SEA WATER PUMP UNIT;
721.035.01;Pump No 01 - Provision Ref Cooling Sea Water;
721.035.01.81;Motor
721.035.02;Pump No 02 - Provision Ref Cooling Sea Water;
721.035.02.81;Motor
721.037;AIR COND AND PROV REF COOLING SEA WATER PUMP UNIT;
721.037.01;Pump No 01 - Air Cond and Prov Ref Cooling Sea Water;
721.037.01.81;Motor
721.037.02;Pump No 02 - Air Cond and Prov Ref Cooling Sea Water;
721.037.02.81;Motor
721.039;CO2 STORAGE UNIT COOLING SEA WATER PUMP UNIT;
721.039.01;Pump - CO2 Storage Unit Cooling Sea Water;
721.039.01.81;Motor
721.041;AIR CONDITION COOLING SEA WATER PUMP UNIT;
721.041.01;Pump - Air Condition Cooling Sea Water;
721.041.01.81;Motor
721.051;SEA WATER SERVICE PUMP UNIT;
721.051.01;Pump No 01 - Sea Water Service;
721.051.01.81;Motor
721.051.02;Pump No 02 - Sea Water Service;
721.051.02.81;Motor
721.061;MGO COOLING SEA WATER PUMP UNIT;
721.061.01;Pump - MGO Cooling Sea Water;
721.061.01.81;Motor
721.071;DECK WASHING PUMP UNIT;
721.071.01;Pump - Deck Washing Sea Water;
721.071.01.81;Motor
721.081;Valves
721.081.01;Sea Water Suction Stbd;
721.081.02;Sea Water Suction Port;
721.081.11;Sea Water Discharge Stbd;
721.081.12;Sea Water Discharge Port;
721.082;Sea Water Piping;
721.083;Main Cooling SW Pump Energy Saving System;
721.101;CARGO COOLING SEA WATER PUMP UNIT;
721.101.01;Pump No 01 - Cargo Cooling Sea Water;x
721.101.01.81;Motor
721.101.02;Pump No 02 - Cargo Cooling Sea Water;x
721.101.02.81;Motor
721.101.03;Pump No 03 - Cargo Cooling Sea Water;x
721.101.03.81;Motor
721.111;IGG COOLING SEA WATER PUMP UNIT;
721.111.01;Pump - IGG Cooling Sea Water;
721.111.01.81;Motor
721.121;WATER SPRAY PUMP UNIT;
721.121.01;Pump - Water Spray;
721.121.01.81;Motor
721.211;SCRUBBER CIRCULATING SEA WATER PUMP UNIT;
721.211.01;Pump No 01 - Scrubber Circulating Sea Water;
721.211.01.81;Motor
721.211.01.91;Starter Panel - Scrubber Circulating Sea Water Pump No 01;
721.211.02;Pump No 02 - Scrubber Circulating Sea Water;
721.211.02.81;Motor
721.901;PROPULSION PLANT COOLING SEA WATER PUMP UNIT;
721.901.01;Pump No 01 - Propulsion Plant Cooling Sea Water
721.901.01.11;Vacuum Pump - Propulsion Plant Cooling Sea Water Pump No 01
721.901.01.81;Motor
721.901.02;Pump No 02 - Propulsion Plant Cooling Sea Water
721.901.02.11;Vacuum Pump - Propulsion Plant Cooling Sea Water Pump No 02
721.901.02.81;Motor
721.901.03;Pump No 01 - Propulsion Plant Cooling Sea Water
721.901.03.11;Vacuum Pump - Propulsion Plant Cooling Sea Water Pump No 01
721.901.03.81;Motor
721.901.04;Pump No 02 - Propulsion Plant Cooling Sea Water
721.901.04.11;Vacuum Pump - Propulsion Plant Cooling Sea Water Pump No 02
721.901.04.81;Motor
721.906;TUNNEL THRUSTER COOLING SEA WATER PUMP UNIT;
721.906.01;Pump No 01 - Tunnel Thruster Sea Water Cooling
721.906.01.81;Motor
721.906.02;Pump No 02 - Tunnel Thruster Sea Water Cooling
721.906.02.81;Motor
722;FRESH WATER AND OTHER COOLING SYSTEM;
722.001;CENTRAL COOLING FRESH WATER PUMP UNIT;
722.001.01;Pump No 01 - Central Cooling Fresh Water;
722.001.01.81;Motor
722.001.01.91;Starter Panel - Central Cooling Fresh Water Pump No 01;
722.001.02;Pump No 02 - Central Cooling Fresh Water;
722.001.02.81;Motor
722.001.02.91;Starter Panel - Central Cooling Fresh Water Pump No 02;
722.001.03;Pump No 03 - Central Cooling Fresh Water;
722.001.03.81;Motor
722.001.03.91;Starter Panel - Central Cooling Fresh Water Pump No 03;
722.011;JACKET COOLING HT FRESH WATER PUMP UNIT;
722.011.01;Pump No 01 - Jacket (HT) Fresh Water Cooling;
722.011.01.81;Motor
722.011.01.91;Starter Panel - Jacket (HT) Fresh Water Cooling Pump No 01;
722.011.02;Pump No 02 - Jacket (HT) Fresh Water Cooling;
722.011.02.81;Motor
722.011.02.91;Starter Panel - Jacket (HT) Fresh Water Cooling Pump No 02;
722.011.03;Pump No 03 - Jacket (HT) Fresh Water Cooling;
722.011.03.81;Motor
722.011.03.91;Starter Panel - Jacket (HT) Fresh Water Cooling Pump No 03;
722.014;HT FRESH WATER BOOSTER PUMP UNIT;
722.014.01;Pump No 01 - HT Fresh Water Booster;
722.014.01.81;Motor
722.014.02;Pump No 02 - HT Fresh Water Booster;
722.014.02.81;Motor
722.021;LT FRESH WATER COOLING PUMP UNIT;
722.021.01;Pump No 01 - LT Fresh Water Cooling;
722.021.01.81;Motor
722.021.01.91;Starter Panel - LT Fresh Water Cooling Pump No 01;
722.021.02;Pump No 02 - LT Fresh Water Cooling;
722.021.02.81;Motor
722.021.02.91;Starter Panel - LT Fresh Water Cooling Pump No 02;
722.021.03;Pump No 03 - LT Fresh Water Cooling;
722.021.03.81;Motor
722.021.03.91;Starter Panel - LT Fresh Water Cooling Pump No 03;
722.024;LT FRESH WATER BOOSTER PUMP UNIT;
722.024.01;Pump No 01 - LT Fresh Water Booster;
722.024.01.81;Motor
722.024.02;Pump No 02 - LT Fresh Water Booster;
722.024.02.81;Motor
722.025;LT PROVISION/CO2 BOOSTER PUMP UNIT;
722.025.01;Pump No 01 - LT Provision/CO2 Booster;
722.025.01.81;Motor
722.025.02;Pump No 02 - LT Provision/CO2 Booster;
722.025.02.81;Motor
722.026;PORT USE LT FRESH WATER COOLING PUMP UNIT;
722.026.01;Pump - Port Use LT Fresh Water Cooling;
722.026.01.81;Motor
722.031;REFRIGERATED MACHINERY COOLING FRESH WATER PUMP UNIT;
722.031.01;Pump No 01 - Ref Machinery Cooling Fresh Water;
722.031.01.81;Motor
722.031.02;Pump No 02 - Ref Machinery Cooling Fresh Water;
722.031.02.81;Motor
722.033;HYDRAULIC UNIT FRESH WATER PUMP UNIT;
722.033.01;Pump No 01 - Hydraulic Unit Fresh Water;
722.033.01.81;Motor
722.033.02;Pump No 02 - Hydraulic Unit Fresh Water;
722.033.02.81;Motor
722.036;AIR CONDITION COOLING FRESH WATER PUMP UNIT;
722.036.01;Pump No 01 - Air Cond Cooling Fresh Water Booster;
722.036.01.81;Motor
722.036.02;Pump No 02 - Air Cond Cooling Fresh Water Booster;
722.036.02.81;Motor
722.037;AIR CONDITION UNIT HOT WATER CIRCULATING PUMP UNIT;
722.037.01;Pump No 01 - Air Condition Hot Water Circulating;
722.037.01.81;Motor
722.037.02;Pump No 02 - Air Condition Hot Water Circulating;
722.037.02.81;Motor
722.041;NOZZLE COOLING FRESH WATER PUMP UNIT;
722.041.01;Pump No 01 - Nozzle Cooling;
722.041.01.81;Motor
722.041.02;Pump No 02 - Nozzle Cooling;
722.041.02.81;Motor
722.046;ACCOMMODATION COOLING FRESH WATER PUMP UNIT;
722.046.01;Pump No 01 - Accommodation Cooling;
722.046.01.81;Motor
722.046.02;Pump No 02 - Accommodation Cooling;
722.046.02.81;Motor
722.051;ME AIR COOLER CLEANING FRESH WATER PUMP UNIT;
722.051.01;Pump No 01 - ME Air Cooler Cleaning;
722.051.01.81;Motor
722.051.01.91;Starter Panel - ME Air Cooler Cleaning Pump No 01;
722.051.02;Pump No 02 - ME Air Cooler Cleaning;
722.051.02.81;Motor
722.056;CLEAN DRAIN PUMP UNIT;
722.056.01;Pump - Clean Drain;
722.056.01.81;Motor
722.061;ME JACKET COOLING PRE-HEATING PUMP UNIT;
722.061.01;Pump No 01 - ME Jacket Pre-Heating Fresh Water;
722.061.01.81;Motor
722.061.01.91;Starter Panel - ME Jacket Pre-Heating Fresh Water Pump No 01;
722.061.02;Pump No 02 - ME Jacket Pre-Heating Fresh Water;
722.061.02.81;Motor
722.061.02.91;Starter Panel - ME Jacket Pre-Heating Fresh Water Pump No 02;
722.066;MGO COOLING FRESH WATER PUMP UNIT;
722.066.01;Pump - MGO Cooling Fresh Water;
722.066.01.81;Motor
722.066.06;Pump - MGO Cooling Fresh Water Circulating;
722.066.06.81;Motor
722.071;ME COOLING WATER TRANSFER PUMP UNIT;
722.071.01;Pump - ME Cooling Water Transfer;
722.071.01.81;Motor
722.071.01.91;Starter Panel - ME Cooling Water Transfer Pump;
722.075;AE PRE-HEATING UNIT;
722.075.01;Pump No 01 - AE HT Pre-Heating Fresh Water;
722.075.01.81;Motor
722.075.01.91;Starter Panel - AE HT Pre-Heating Fresh Water Pump No 01;
722.075.02;Pump No 02 - AE HT Pre-Heating Fresh Water;
722.075.02.81;Motor
722.075.02.91;Starter Panel - AE HT Pre-Heating Fresh Water Pump No 02;
722.081;Valves
722.081.01;Contamination Detector - Fresh Water Cooling Line;
722.082;Fresh Water Piping;
722.086;Cooling Water Test;
722.087;Fresh Water Test;
722.091;AUXILIARY COOLING FRESH WATER PUMP UNIT;
722.091.01;Pump No 01 - Auxiliary Cooling Fresh Water;
722.091.01.81;Motor
722.091.02;Pump No 02 - Auxiliary Cooling Fresh Water;
722.091.02.81;Motor
722.093;AE LUBE OIL COOLING FRESH WATER PUMP UNIT;
722.093.01;Pump No 01 - AE Lube Oil Cooling Fresh Water;
722.093.01.81;Motor
722.093.02;Pump No 02 - AE Lube Oil Cooling Fresh Water;
722.093.02.81;Motor
722.096;AE JACKET WATER PRE-HEATING PUMP UNIT;
722.096.01;Pump No 01 - AE Jacket Water Pre-heating;
722.096.01.81;Motor
722.096.02;Pump No 02 - AE Jacket Water Pre-heating;
722.096.02.81;Motor
722.101;FRESH WATER COOLERS;
722.101.01;Cooler No 01 - Central Fresh Water;
722.101.02;Cooler No 02 - Central Fresh Water;
722.101.11;Cooler No 01 - LT Fresh Water;
722.101.12;Cooler No 02 - LT Fresh Water;
722.101.16;Cooler - AE LT Fresh Water;
722.101.21;Cooler No 01 - HT Fresh Water;
722.101.22;Cooler No 02 - HT Fresh Water;
722.101.26;Cooler No 01 - ME Piston Cooling Fresh Water;
722.101.27;Cooler No 02 - ME Piston Cooling Fresh Water;
722.101.31;Cooler - ME Air Cooler Fresh Water;
722.101.36;Cooler No 01 - ME MGO Fresh Water;
722.101.37;Cooler No 02 - ME MGO Fresh Water;
722.101.41;Cooler No 01 - ME Jacket Cooling Fresh Water;
722.101.42;Cooler No 02 - ME Jacket Cooling Fresh Water;
722.101.43;Cooler No 03 - MDG Fresh Water (PHE)
722.101.44;Cooler No 04 - MDG Fresh Water (PHE)
722.101.46;Cooler - AE Lube Oil Cooling Fresh Water;
722.101.51;Cooler No 01 - Auxiliary Fresh Water;
722.101.52;Cooler No 02 - Auxiliary Fresh Water;
722.101.53;Cooler No 03 - Auxiliary Fresh Water;
722.101.56;Cooler - AE and Air Compressor Fresh Water ;
722.101.61;Cooler No 01 - AE Jacket Cooling Fresh Water;
722.101.62;Cooler No 02 - AE Jacket Cooling Fresh Water;
722.101.66;Cooler No 01 - AE MGO Fresh Water;
722.101.67;Cooler No 02 - AE MGO Fresh Water;
722.101.71;Cooler - Air Compressor Fresh Water;
722.101.76;Cooler - Boiler MGO Fresh Water;
722.101.77;Cooler - Cargo Compressor Cooling Fresh Water;
722.101.81;FUEL VALVE COOLING FRESH WATER COOLERS;
722.101.81.01;Cooler No 01 - Fuel Valve Cooling Fresh Water;
722.101.81.02;Cooler No 02 - Fuel Valve Cooling Fresh Water;
722.101.81.03;Cooler No 03 - Fuel Valve Cooling Fresh Water;
722.101.86;Cooler - Common Fresh Water Back-up
722.101.87;Cooler - Common Fresh Water Back-up
722.101.91;Cooler No 01 - Fwd Tunnel Thruster Fresh Water (PHE);
722.101.92;Cooler No 02 - Fwd Tunnel Thruster Fresh Water (PHE);
722.101.96;Cooler No 01 - Propulsion Plant Fresh Water (PHE)
722.101.97;Cooler No 02 - Propulsion Plant Fresh Water (PHE)
722.101.98;Cooler No 01 - Propulsion Plant Fresh Water (PHE)
722.101.99;Cooler No 02 - Propulsion Plant Fresh Water (PHE)
722.201;FRESH WATER HEATERS;
722.201.01;Heater - ME Jacket Cooling Fresh Water;
722.201.11;Heater - ME Jacket Water Pre-Heating;
722.201.12;Heater No 02 - MDG Jacket Water Pre-Heating
722.201.13;Heater No 03 - MDG Jacket Water Pre-Heating
722.201.14;Heater No 04 - MDG Jacket Water Pre-Heating
722.201.21;Heater - AE Nozzle;
722.201.31;Heater - AE Jacket Water Pre-Heating;
722.201.32;Heater No 02 - AE Jacket Water Pre-Heating;
722.201.33;Heater No 03 - AE Jacket Water Pre-Heating;
722.211;LT COOLING FRESH WATER SYSTEM;
722.211.11;LT Cooling Fresh Water
722.211.12;LT Cooling Fresh Water
722.211.13;LT Cooling Fresh Water
722.211.14;LT Cooling Fresh Water
722.301;BUFFER UNIT PUMP UNIT;
722.301.01;Pump - Buffer Unit Supply;
722.301.01.81;Motor
722.401;TANK WASHING PUMP UNIT;
722.401.01;Pump - Tank Washing;
722.401.01.81;Motor
722.501;WATER TREATMENT UNITS;
722.501.01;Water Treatment Unit
722.501.02;Water Treatment Unit
722.901;PROPULSION PLANT COOLING FRESH WATER PUMP UNIT;
722.901.01;Pump No 01 - Propulsion Plant Cooling Fresh Water
722.901.01.81;Motor
722.901.02;Pump No 02 - Propulsion Plant Cooling Fresh Water
722.901.02.81;Motor
722.901.03;Pump No 01 - Propulsion Plant Cooling Fresh Water
722.901.03.81;Motor
722.901.04;Pump No 02 - Propulsion Plant Cooling Fresh Water
722.901.04.81;Motor
722.906;TUNNEL THRUSTER COOLING FRESH WATER PUMP UNIT;
722.906.01;Pump No 01 - Tunnel Thruster Fresh Water Cooling
722.906.01.81;Motor
722.906.02;Pump No 02 - Tunnel Thruster Fresh Water Cooling
722.906.02.81;Motor
722.911;FAN COIL UNIT FRESH WATER PUMP;
722.911.01;Pump - Fan Coil Unit Fresh Water Booster
722.911.01.81;Motor
722.916;FRESH WATER COOLING DRAIN TRANSFER PUMP UNIT;
722.916.01;Pump - Fresh Water Cooling Drain Transfer;
722.916.01.81;Motor
722.921;MISCELLANEOUS COOLING FRESH WATER PUMP UNIT;
722.921.01;Pump No 01 - Misc Cooling Fresh Water
722.921.01.81;Motor
722.921.02;Pump No 02 - Misc Cooling Fresh Water
722.921.02.81;Motor
722.921.06;Pump No 01 - Misc Cooling Fresh Water
722.921.06.81;Motor
722.921.07;Pump No 02 - Misc Cooling Fresh Water
722.921.07.81;Motor
722.926;LT FRESH WATER STANDBY CIRCULATING PUMP UNIT;
722.926.01;Pump No 01 - LT Fresh Water Standby Circulating
722.926.01.81;Motor
722.926.02;Pump No 02 - LT Fresh Water Standby Circulating
722.926.02.81;Motor
722.926.03;Pump No 03 - LT Fresh Water Standby Circulating
722.926.03.81;Motor
722.926.04;Pump No 04 - LT Fresh Water Standby Circulating
722.926.04.81;Motor
73;COMPRESSED AIR SYSTEMS;
731;STARTING AIR SYSTEMS (HIGH PRESSURE);
731.001;Compressor No 01 - Main Starting Air;
731.001.11;Pump
731.001.11.81;Motor
731.001.21;Pump
731.001.21.81;Motor
731.001.81;Motor
731.001.91;Starter Panel - Main Starting Air Compressor No 01;
731.002;Compressor No 02 - Main Starting Air;
731.002.11;Pump
731.002.11.81;Motor
731.002.21;Pump
731.002.21.81;Motor
731.002.81;Motor
731.002.91;Starter Panel - Main Starting Air Compressor No 02;
731.003;Compressor No 03 - Main Starting Air;
731.003.81;Motor
731.003.91;Starter Panel - Main Starting Air Compressor No 03;
731.004;Compressor No 04 - Main Starting Air;
731.004.81;Motor
731.011;Compressor - Topping Up Air;
731.011.81;Motor
731.011.91;Starter Panel - Topping Up Air Compressor;
731.012;Compressor - Topping Up / Deck Service Air;
731.012.81;Motor
731.021;Compressor - Emergency Starting Air;
731.021.31;Engine - Emergency Starting Air Compressor;
731.021.81;Motor
731.081;Valves
731.082;Compressed Air Piping (High Pressure);
731.101;AIR RESERVOIRS;
731.101.01;Main Starting Air Reservoir No 01;
731.101.02;Main Starting Air Reservoir No 02;
731.101.03;MDG Starting Air Reservoir No 01
731.101.04;MDG Starting Air Reservoir No 02
731.101.11;Auxiliary (Emergency) Starting Air Reservoir;
731.101.12;HDG Starting Air Reservoir No 02
731.101.21;Air Bottle - Emergency Shut -off Device;
732;GENERAL PURPOSE AIR SYSTEMS FOR ENGINE ROOM (LOW PRESSURE);
732.001;Compressor - Service Air;
732.001.11;Pump
732.001.21;Air Dryer - Service Air Compressor;
732.001.81;Motor
732.001.91;Starter Panel - Service Air Compressor;
732.081;Valves
732.082;Compressed Air Piping (Low Pressure);
733;GENERAL PURPOSE AIR SYSTEMS FOR DECK (LOW PRESSURE);
733.001;Compressor No 01 - Deck Service Air;
733.001.11;Pump
733.001.21;Air Dryer - Deck Service Air Compressor No 01;
733.001.81;Motor
733.001.91;Starter Panel - Deck Service Air Compressor No 01;
733.002;Compressor No 02 - Deck Service Air;
733.002.11;Pump
733.002.81;Motor
733.002.91;Starter Panel - Deck Service Air Compressor No 02;
733.081;Valves
733.082;Service Air Piping;
733.101;Deck Service Air Reservoir;
733.201;Dryer - Deck Service Air;
734;INSTRUMENT AIR SUPPLY SYSTEM;
734.001;Control Air Dryer (Refrigerated Type);
734.001.01;Control Air Compressor No 01;
734.001.01.11;Pump
734.001.01.81;Motor
734.001.91;Starter Panel - Control Air Dryer;
734.001.95;Control Panel - Control Air Dryer;
734.002;Control Air Dryer No 02 (Refrigerated Type);
734.002.01;Control Air Compressor No 02;
734.002.01.11;Pump
734.002.01.81;Motor
734.002.95;Control Panel - Control Air Dryer No 02;
734.011;Control Air Dryer (Desiccant Type);
734.016;Dew point Meter - Control Air Dryer;
734.021;CONTROL AIR DRYERS (MEMBRANE TYPE);
